Ward_ID,Year,Month,Actual_Cases,Linear Regression,GBM,Random Forest,XGBoost,MLP
166,2022,2,15.0,12.56,13.65,12.23,13.33,14.24
166,2022,3,16.0,11.87,12.19,11.21,12.58,13.71
166,2022,4,8.0,10.84,11.28,11.02,11.42,10.14
166,2022,5,33.0,24.87,23.54,23.2,24.13,24.7
166,2022,6,41.0,43.42,45.44,45.24,45.25,43.32
166,2022,7,59.0,62.35,63.94,64.29,63.8,64.04
166,2022,8,52.0,47.64,49.32,50.41,51.02,48.57
166,2022,9,45.0,46.92,44.15,41.76,46.07,48.49
166,2022,10,41.0,44.24,43.31,42.74,44.31,44.45
166,2022,11,47.0,46.67,50.19,49.93,50.77,49.06
166,2022,12,34.0,31.28,30.55,32.51,32.6,27.83
166,2023,1,17.0,18.22,18.93,19.5,19.58,19.7
166,2023,2,21.0,21.15,22.49,20.9,22.72,21.39
166,2023,3,23.0,22.05,20.8,21.33,21.57,21.98
166,2023,4,12.0,11.95,13.17,14.1,13.27,13.16
166,2023,5,22.0,26.68,26.1,24.34,26.46,26.65
166,2023,6,39.0,35.43,31.45,33.31,31.46,36.29
166,2023,7,38.0,39.52,42.48,42.51,42.21,40.61
166,2023,8,41.0,37.73,39.94,36.82,38.51,38.14
166,2023,9,45.0,57.02,54.51,54.4,53.83,57.25
166,2023,10,50.0,46.69,48.21,51.81,49.02,48.26
166,2023,11,42.0,42.07,43.99,44.61,44.27,41.18
166,2023,12,24.0,25.95,26.21,28.93,26.27,26.0
167,2021,3,16.0,9.74,10.37,9.78,11.44,11.67
167,2021,4,7.0,7.84,7.38,8.29,6.99,6.18
167,2021,5,31.0,33.53,31.38,29.47,30.32,30.69
167,2021,6,52.0,55.95,58.12,58.46,57.6,58.69
167,2021,7,63.0,52.95,50.08,50.47,52.25,50.34
167,2021,8,58.0,65.02,63.43,64.12,63.9,65.27
167,2021,9,57.0,64.72,55.97,58.81,56.63,59.26
167,2021,10,51.0,47.1,48.47,46.14,48.28,47.29
167,2021,11,42.0,37.28,38.93,38.55,37.59,39.26
167,2021,12,11.0,22.13,19.96,19.38,19.7,20.5
167,2022,1,33.0,27.48,28.06,26.92,28.61,28.52
167,2022,2,30.0,23.77,24.59,24.43,24.09,24.56
167,2022,3,30.0,27.7,24.05,25.99,24.41,27.44
167,2022,4,4.0,6.25,6.6,6.89,6.56,9.8
167,2022,5,18.0,16.69,17.6,16.94,18.55,20.16
167,2022,6,37.0,36.01,38.05,37.85,37.85,35.53
167,2022,7,57.0,46.08,45.85,48.49,46.9,47.46
167,2022,8,72.0,71.6,75.34,70.31,75.5,73.31
167,2022,9,46.0,60.5,50.91,55.01,51.79,55.13
167,2022,10,46.0,46.04,47.39,47.19,46.03,46.49
